;PlayerReplayID;AC_FRAME;Race;NumberOfBuildings;NumberOfWorkers;NumberOfAttackUnits;NumberOfAttacks;RatioAttackToNon;exp_feature1;exp_feature2;exp_feature3;exp_feature4;exp_feature5;exp_feature6;exp_feature7;exp_feature8;exp_feature9;exp_feature10;exp_feature11;exp_feature12;exp_feature13;Results1;Results2;Results3;Results4;Results5;Time
0;1;3;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1;1;363;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2;1;543;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;1;723;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;1;975;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;1;1323;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;1;1587;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;1;1712;0;1;9;0;2;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;1;1929;0;2;9;0;2;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;1;2172;0;2;9;0;2;0.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;1;2402;0;2;9;0;2;0.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;1;2643;0;2;9;0;3;0.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;1;2968;0;2;9;0;3;0.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;1;3171;0;2;9;0;3;0.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
