;PlayerReplayID;AC_FRAME;Race;NumberOfBuildings;NumberOfWorkers;NumberOfAttackUnits;NumberOfAttacks;RatioAttackToNon;exp_feature1;exp_feature2;exp_feature3;exp_feature4;exp_feature5;exp_feature6;exp_feature7;exp_feature8;exp_feature9;exp_feature10;exp_feature11;exp_feature12;exp_feature13;Results1;Results2;Results3;Results4;;Time
0;1;3;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
1;1;363;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2;1;543;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
3;1;723;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
4;1;975;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
5;1;1323;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
6;1;1587;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
7;1;1712;0;1;9;0;2;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
8;1;1929;0;2;9;0;2;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
9;1;2172;0;2;9;0;2;0.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
10;1;2402;0;2;9;0;2;0.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
11;1;2643;0;2;9;0;3;0.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
12;1;2968;0;2;9;0;3;0.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
13;1;3171;0;2;9;0;3;0.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14;1;3649;0;2;9;0;3;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
15;1;4203;0;2;9;0;3;0.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
16;1;4515;0;2;9;0;4;0.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
17;1;4563;0;2;9;0;4;0.2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;
18;1;4971;0;2;9;0;4;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19;1;5247;0;3;9;0;4;0.19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
20;1;5362;0;3;9;0;4;0.19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
21;1;5544;0;3;9;0;4;0.19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
22;1;6179;0;3;9;0;4;0.17;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
23;1;6459;0;3;9;0;4;0.16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
24;1;6587;0;3;9;0;4;0.16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
25;1;6722;0;3;9;0;4;0.16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
26;1;6987;0;3;9;0;5;0.17;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
27;1;7210;0;3;9;0;5;0.16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
28;1;7443;0;3;9;0;5;0.15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
29;1;7901;0;3;9;0;5;0.15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
30;1;7971;0;3;10;0;5;0.15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
31;1;8252;0;3;10;0;6;0.15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
32;1;8619;0;3;10;0;6;0.14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
33;1;8769;0;3;11;0;6;0.14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
34;1;8883;0;3;11;0;6;0.13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
35;1;9123;0;4;10;1;6;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;
36;1;9442;0;4;10;3;7;0.14;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;
37;1;9603;0;4;11;3;8;0.14;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;
38;1;9843;0;4;12;4;11;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;
39;1;10155;0;4;12;5;11;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;
40;1;10412;0;4;13;5;13;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;
41;1;10659;0;4;13;5;13;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;
42;1;10803;0;4;14;6;13;0.12;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;
43;1;11127;0;4;15;8;16;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;
44;1;11293;0;4;16;8;19;0.14;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;
45;1;11805;0;4;17;10;19;0.13;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;
46;1;12003;0;6;16;10;25;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
47;1;12262;0;6;17;11;26;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
48;1;12483;0;7;16;12;27;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
49;1;12819;0;7;17;12;29;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
50;1;12963;0;8;16;13;30;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
51;1;13232;0;8;18;13;30;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
52;1;13491;0;8;19;13;30;0.14;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
53;1;13731;0;8;20;13;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
54;1;13932;0;9;21;13;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
55;1;14187;0;9;21;14;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
56;1;14412;0;9;24;14;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
57;1;14667;0;9;25;14;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
58;1;14931;0;9;26;15;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
59;1;15249;0;9;27;16;31;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
60;1;15363;0;9;28;16;32;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
61;1;15627;0;9;28;18;32;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
62;1;15915;0;9;28;22;32;0.15;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
63;1;16108;0;9;28;23;37;0.18;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
64;1;16372;0;9;28;23;40;0.22;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
65;1;17055;0;9;28;23;41;0.22;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
66;1;17307;0;10;27;32;41;0.21;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
67;1;17524;0;10;28;33;43;0.21;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
68;1;17799;0;10;28;34;50;0.22;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
69;1;18006;0;10;28;36;50;0.21;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
70;1;18252;0;10;28;39;50;0.21;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
71;1;18489;0;11;27;40;55;0.21;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
72;1;18724;0;11;28;41;67;0.23;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
73;1;19036;0;11;28;43;70;0.25;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
74;1;19211;0;11;28;44;71;0.25;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
75;1;19447;0;11;28;46;73;0.24;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
76;1;19684;0;11;28;49;74;0.23;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
77;1;19924;0;11;28;52;79;0.23;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
78;1;20161;0;13;26;52;83;0.23;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
79;1;20403;0;13;26;55;88;0.22;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
80;1;20642;0;13;26;58;90;0.21;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
81;1;20883;0;13;26;59;94;0.22;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
82;1;21153;0;13;27;59;99;0.23;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
83;1;21396;0;13;27;60;100;0.23;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
84;1;21601;0;13;28;61;101;0.22;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;;
85;2;3;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:00
86;2;268;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:11
87;2;493;2;1;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;0:00:21
